日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240317,0017,01,阪神,日,1,3連複,03―07―10,2500,―,―,0
20240317,0017,02,阪神,日,1,3連複,04―07―10,1000,―,―,0
20240317,0017,03,阪神,日,1,3連複,07―09―10,2500,―,―,0
20240317,0017,04,阪神,日,1,3連単,10→07→03,1000,―,―,0
20240317,0017,05,阪神,日,1,3連単,10→07→04,1000,―,―,0
20240317,0017,06,阪神,日,1,3連単,10→07→06,1000,―,―,0
20240317,0017,07,阪神,日,1,3連単,10→07→09,1000,―,―,0
20240317,0017,08,阪神,日,1,3連単,07→10→03,1000,―,―,0
20240317,0017,09,阪神,日,1,3連単,07→10→04,1000,―,―,0
20240317,0017,10,阪神,日,1,3連単,07→10→06,1000,―,―,0
20240317,0017,11,阪神,日,1,3連単,07→10→09,1000,―,―,0
20240317,0018,01,中山,日,3,3連複軸2頭ながし,07；16／03；05；13；15,2500／10000,的中07―13―16,490,12250
20240317,0019,01,中山,日,7,3連複,01―03―10,500,―,―,0
20240317,0019,02,中山,日,7,3連複,01―10―12,500,―,―,0
20240317,0019,03,中山,日,7,3連複,01―10―14,500,的中01―10―14,1530,7650
20240317,0019,04,中山,日,7,3連複,01―10―16,500,―,―,0
20240317,0019,05,中山,日,7,3連複,03―10―12,500,―,―,0
20240317,0019,06,中山,日,7,3連複,03―10―14,500,―,―,0
20240317,0019,07,中山,日,7,3連複,03―10―16,500,―,―,0
20240317,0019,08,中山,日,7,3連複,10―12―14,500,―,―,0
20240317,0019,09,中山,日,7,3連複,10―12―16,500,―,―,0
20240317,0019,10,中山,日,7,3連複,10―14―16,500,―,―,0
20240317,0019,11,中山,日,7,馬連,03―10,1000,―,―,0
20240317,0019,12,中山,日,7,馬連,10―12,1000,―,―,0
20240317,0019,13,中山,日,7,馬連,10―14,1000,―,―,0
20240317,0019,14,中山,日,7,馬連,10―16,1000,―,―,0
20240317,0019,15,中山,日,7,単勝,10,1000,―,―,0
20240317,0020,01,阪神,日,8,単勝,03,1500,―,―,0
20240317,0020,02,阪神,日,8,馬連,01―03,500,―,―,0
20240317,0020,03,阪神,日,8,馬連,03―06,500,―,―,0
20240317,0021,01,中山,日,8,馬単,04→02,500,―,―,0
20240317,0021,02,中山,日,8,馬単,04→05,1000,―,―,0
20240317,0021,03,中山,日,8,馬単,04→06,2000,―,―,0
20240317,0021,04,中山,日,8,馬単,04→07,500,―,―,0
20240317,0021,05,中山,日,8,馬単,06→02,300,的中06→02,4390,13170
20240317,0021,06,中山,日,8,馬単,06→05,400,―,―,0
20240317,0021,07,中山,日,8,馬単,06→07,300,―,―,0
20240317,0022,01,中山,日,9,3連複,03―08―10,1000,―,―,0
20240317,0022,02,中山,日,9,3連複,03―08―11,1000,―,―,0
20240317,0022,03,中山,日,9,3連複,03―08―14,1000,―,―,0
20240317,0022,04,中山,日,9,3連複,03―08―16,1000,―,―,0
20240317,0022,05,中山,日,9,3連複,08―10―11,1000,―,―,0
20240317,0022,06,中山,日,9,3連複,08―10―14,1000,―,―,0
20240317,0022,07,中山,日,9,3連複,08―10―16,1000,―,―,0
20240317,0022,08,中山,日,9,3連複,08―11―14,1000,―,―,0
20240317,0022,09,中山,日,9,3連複,08―11―16,1000,―,―,0
