日付,受付番号,通番,場名,曜日,レース,式別,馬／組番,購入金額,的中／返還,払戻単価,払戻／返還金額
20240817,0001,01,札幌,土,1,複勝,10,60600,-,0,0
20240817,0001,01,新潟,土,5,複勝,04,15000,的中04,110,16500
20240817,0001,01,中京,土,6,複勝,06,16500,的中06,110,18150
20240817,0001,01,新潟,土,8,複勝,04,46800,的中04,110,51480
20240817,0001,01,新潟,土,10,複勝,05,17300,-,0,0
20240817,0001,01,札幌,土,11,単勝,10,5000,-,0,0
20240817,0001,01,札幌,土,11,馬連,04-10,2500,-,0,0
20240817,0001,01,札幌,土,11,馬連,10-14,2500,-,0,0
20240817,0001,01,中京,土,11,単勝,11,5000,的中11,220,11000
20240817,0001,01,中京,土,11,馬連,11-12,2000,-,0,0
20240817,0001,01,新潟,土,11,馬単,09→04,3500,-,0,0
,,合計,,,,,,176700,,,97130
