日付,レースID,馬番,券種,購入金額
20240713,202402011111,13,複勝,5000
20240713,202402011111,10-13,馬連,500
20240713,202402011111,13-14,馬連,500
20240714,202403020601,1,複勝,50000
20240714,202403020602,8,複勝,50000
20240714,202403020611,4,複勝,55000
20240714,202403020612,5,複勝,66000
20240720,202410030709,12,複勝,72600
20240721,202403020805,7,複勝,39800
20240721,202410030808,1,複勝,43800
20240727,202401010301,1,複勝,50000
20240727,202401010308,12,複勝,25000
20240727,202401010309,9,複勝,30000
20240727,202404020108,4,複勝,50000
20240728,202404020201,10,複勝,50000
20240728,202401010407,9,複勝,55000
20240728,202401010409,11,複勝,30000
20240728,202401010409,11,単勝,5000
20240728,202401010411,2,複勝,15000
20240803,202404020302,4→2,馬単,15000
20240803,202404020302,4→3,馬単,30000
20240803,202404020302,4→6,馬単,15000
20240804,202401010601,10,複勝,46000
20240804,202404020403,6,複勝,46000
20240804,202404020408,4,複勝,46000
20240810,202404030101,2,複勝,54600
20240811,202401020201,3,複勝,54600
20240811,202404030205,7,複勝,60600
20240811,202404030211,13,複勝,16000
20240817,202401020301,10,複勝,60600
20240817,202404030305,4,複勝,15000
20240817,202407020306,6,複勝,16500
20240817,202404030308,4,複勝,46800
20240817,202404030310,5,複勝,17300
20240817,202401020311,10,単勝,5000
20240817,202401020311,4-10,馬連,2500
20240817,202401020311,10-14,馬連,2500
20240817,202407020311,11,単勝,5000
20240817,202407020311,11-12,馬連,2000
20240817,202404030311,9→4,馬単,3500
20240825,202407020609,10,複勝,20000
20240831,202407020702,5,複勝,50000
20240831,202404030709,3,複勝,27500
20240831,202404030709,3-4,馬連,1000
20240901,202404030806,8,複勝,55000
20240901,202404030808,8,複勝,60500
20240907,202407030102,8,複勝,66500
20240907,202407030111,2,複勝,66500
20240908,202407030206,2,複勝,66500
20240908,202406040212,12,複勝,66500
20240915,202407030402,6,複勝,73200
20240916,202406040506,8,複勝,73200
20240921,202406040601,9,複勝,73200
20240921,202407030606,5,複勝,73200
20240921,202406040609,1,単勝,25000
20240922,202406040711,4,複勝,50000
20240929,202406040902,4,複勝,55000
20240929,202406040909,6,複勝,55000
20241006,202408050201,5,単勝,50000
20241013,202408050411,5,複勝,55000
20241019,202405040505,4,複勝,66000
