日付,レースID,◎,◯,▲,△,☆,✓
20231111,202303030301,9,11,10,7,3,4
20231111,202303030302,6,2,10,15,9,14
20231111,202303030303,10,8,11,15,5,1
20231111,202303030304,15,2,10,1,4,8
20231111,202303030306,7,2,5,15,3,6
20231111,202303030307,4,3,8,6,7,11
20231111,202303030308,10,4,7,5,9,3
20231111,202303030309,5,1,9,7,4,2
20231111,202303030310,3,8,5,7,14,6
20231111,202303030311,9,6,3,1,12,5
20231111,202303030312,10,5,11,2,6,8
20231111,202308030301,9,4,7,13,2,5
20231111,202308030302,2,7,8,4,9,12
20231111,202308030303,3,5,6,7,2,9
20231111,202308030307,7,11,9,3,13,10
20231111,202308030309,12,10,3,11,14,2
20231111,202308030310,14,11,8,12,5,6
20231111,202308030311,6,1,9,8,2,10
20231111,202308030312,12,1,3,4,2,5
20231111,202305050301,5,3,9,4,15,13
20231111,202305050302,8,6,7,5,4,3
20231111,202305050303,1,10,2,4,7,9
20231111,202305050304,3,2,11,6,4,5
20231111,202305050307,1,2,11,6,4,3
20231111,202305050308,5,8,16,14,10,7
20231111,202305050309,7,14,8,9,3,4
20231111,202305050310,14,15,11,7,5,10
20231111,202305050311,5,2,3,3,12,1
20231111,202305050312,6,4,3,5,8,1
20231112,202303030401,9,6,14,15,3,1
20231112,202303030402,8,15,12,14,16,13
20231112,202303030403,4,1,3,7,9,6
20231112,202303030406,5,2,8,10,4,7
20231112,202303030407,6,7,12,9,10,3
20231112,202303030408,10,5,6,7,3,4
20231112,202303030409,11,4,3,10,2,6
20231112,202303030410,15,12,3,5,11,14
20231112,202303030411,8,7,6,2,15,5
20231112,202303030412,4,14,12,7,8,3
20231112,202308030401,7,1,3,4,6,10
20231112,202308030402,8,10,4,3,14,15
20231112,202308030403,13,2,8,1,9,3
20231112,202308030406,4,7,3,6,2,5
20231112,202308030407,6,3,10,9,2,5
20231112,202308030408,12,9,2,7,4,11
20231112,202308030409,6,3,2,4,7,5
20231112,202308030410,9,4,10,6,8,13
20231112,202308030411,14,7,1,6,1,13
20231112,202308030412,5,3,15,8,2,1
20231112,202305050401,5,8,14,11,3,12
20231112,202305050402,11,5,6,12,4,3
20231112,202305050403,11,4,7,13,16,12
20231112,202305050407,3,14,13,5,16,10
20231112,202305050408,2,3,4,5,7,6
20231112,202305050409,9,3,11,2,10,13
20231112,202305050410,10,4,5,7,14,13
20231112,202305050411,17,7,10,5,18,4
20231112,202305050412,8,11,6,10,1,2
20231118,202303030501,7,3,15,13,1,9
20231118,202303030502,13,12,1,3,14,8
20231118,202303030503,15,10,5,3,8,1
20231118,202303030506,12,11,10,1,6,5
20231118,202303030507,2,1,6,8,15,12
20231118,202303030508,2,12,8,6,13,4
20231118,202303030509,1,5,13,7,3,9
20231118,202303030510,3,13,5,15,8,4
20231118,202303030511,4,15,3,13,12,6
20231118,202303030512,1,9,10,11,16,3
20231118,202308030501,10,16,4,11,7,9
20231118,202308030502,9,10,4,7,6,15
20231118,202308030503,6,2,1,12,5,9
20231118,202308030506,4,9,1,6,10,7
20231118,202308030507,2,11,5,4,6,3
20231118,202308030508,3,5,1,2,7,11
20231118,202308030509,4,9,11,15,7,16
20231118,202308030510,3,2,9,10,1,8
20231118,202308030511,16,2,10,13,1,8
20231118,202308030512,9,13,2,12,3,15
20231118,202305050501,12,11,4,1,13,5
20231118,202305050502,5,2,8,15,11,1
20231118,202305050503,3,1,7,16,8,2
20231118,202305050506,2,4,7,5,6,3
20231118,202305050507,3,7,5,2,8,10
20231118,202305050508,10,14,6,16,13,3
20231118,202305050509,4,1,3,10,11,2
20231118,202305050510,6,16,3,14,13,12
20231118,202305050511,1,10,4,7,6,5
20231118,202305050512,6,9,11,1,15,5
20231119,202303030608,3,5,11,6,7,4
20231119,202303030609,1,3,6,9,15,5
20231119,202303030610,2,16,4,11,5,13
20231119,202303030611,4,8,1,11,9,3
20231119,202303030612,4,15,6,2,9,13
20231119,202308030608,4,10,11,15,14,9
20231119,202308030609,5,3,1,7,2,4
20231119,202308030610,11,3,5,2,4,12
20231119,202308030611,6,11,1,9,12,16
20231119,202308030612,10,11,7,12,8,1
20231119,202305050608,8,13,9,10,4,6
